period_start,period_end,effective_as_of_date,universe,benchmark,universe_symbol_count,benchmark_symbol,strategy,symbol,signal_date,entry_price,exit_date_15d,exit_15d_close,return_15d,benchmark_return_15d,alpha_15d,beat_xu100_15d,exit_date_30d,exit_30d_close,return_30d,benchmark_return_30d,alpha_30d,beat_xu100_30d,exit_date_to_current,exit_price_to_current,return_to_current,benchmark_return_to_current,alpha_to_current,beat_xu100_to_current,interest_score,rvol_20d,turnover_ratio_20d,close_position,daily_return_pct,near_20d_high_pct,above_ma20,above_ma50
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,ZOREN,2026-04-10,2.92,2026-05-05 09:00:00,3.08,5.47945205479452,2.998339466483446,2.481112588311074,True,,,,,,,2026-05-08 09:00:00,3.19,9.246575342465757,7.026252345672335,2.2203229967934224,True,45.0,1.7180997920532848,1.7532185671805058,0.8749999999999972,2.4561403508771784,,True,False
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,FENER,2026-04-13,3.03,2026-05-06 09:00:00,3.46,14.191419141914196,6.109609055298182,8.081810086616013,True,,,,,,,2026-05-08 09:00:00,3.42,12.871287128712883,7.1425776984900935,5.728709430222789,True,90.0,2.169730549409015,2.4187630456306946,1.0,9.782608695652172,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,GLBMD,2026-04-13,12.6,2026-05-06 09:00:00,12.02,-4.603174603174609,6.109609055298182,-10.712783658472791,False,,,,,,,2026-05-08 09:00:00,12.29,-2.4603174603174627,7.1425776984900935,-9.602895158807556,False,65.0,2.5794562875388922,2.680795755027146,0.6103896103896093,3.8746908491343657,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,HATSN,2026-04-13,40.8,2026-05-06 09:00:00,49.4,21.078431372549034,6.109609055298182,14.96882231725085,True,,,,,,,2026-05-08 09:00:00,49.6,21.568627450980404,7.1425776984900935,14.42604975249031,True,55.0,2.1154546470141216,2.260700651924862,0.6494845360824739,1.492537313432818,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,NATEN,2026-04-13,8.18,2026-05-06 09:00:00,7.01,-14.303178484107582,6.109609055298182,-20.412787539405763,False,,,,,,,2026-05-08 09:00:00,7.13,-12.8361858190709,7.1425776984900935,-19.978763517560992,False,100.0,5.7328321951736,6.515392507654448,1.0,9.946236559139777,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,OZATD,2026-04-13,273.25,2026-05-06 09:00:00,496.5,81.70173833485819,6.109609055298182,75.59212927956001,True,,,,,,,2026-05-08 09:00:00,600.5,119.76212259835317,7.1425776984900935,112.61954489986309,True,95.0,4.669927780442041,5.7980413811093525,0.978494623655914,8.217821782178225,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,PINSU,2026-04-13,12.97,2026-05-06 09:00:00,11.7,-9.791827293754828,6.109609055298182,-15.90143634905301,False,,,,,,,2026-05-08 09:00:00,12.43,-4.163454124903632,7.1425776984900935,-11.306031823393726,False,85.0,2.5591120358169896,2.851307260040243,0.9509803921568638,7.724252491694372,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,SERNT,2026-04-13,9.54,2026-05-06 09:00:00,8.55,-10.377358490566024,6.109609055298182,-16.486967545864207,False,,,,,,,2026-05-08 09:00:00,8.86,-7.127882599580715,7.1425776984900935,-14.270460298070809,False,85.0,2.745339018071938,3.119680435398615,0.7572815533980581,5.999999999999983,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,TARKM,2026-04-13,401.0,2026-05-06 09:00:00,479.75,19.638403990024944,6.109609055298182,13.528794934726761,True,,,,,,,2026-05-08 09:00:00,495.5,23.56608478802993,7.1425776984900935,16.423507089539836,True,75.0,3.7143294858564775,3.954579927636924,0.6455696202531646,4.427083333333326,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,TGSAS,2026-04-13,170.7,2026-05-06 09:00:00,162.3,-4.920913884007017,6.109609055298182,-11.030522939305198,False,,,,,,,2026-05-08 09:00:00,159.6,-6.50263620386643,7.1425776984900935,-13.645213902356524,False,70.0,3.005365399911026,3.1212742991440043,0.6484848484848478,4.2124542124541975,,True,False
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,VANGD,2026-04-13,82.0,2026-05-06 09:00:00,94.0,14.634146341463406,6.109609055298182,8.524537286165224,True,,,,,,,2026-05-08 09:00:00,91.35,11.402439024390244,7.1425776984900935,4.25986132590015,True,85.0,2.7431099558595067,3.07280174644338,0.7374301675977657,5.943152454780365,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,AKSUE,2026-04-14,36.34,2026-05-07 09:00:00,36.72,1.0456796917996503,5.900548082556001,-4.854868390756351,False,,,,,,,2026-05-08 09:00:00,38.42,5.7237204182718715,6.058269681402373,-0.3345492631305014,False,77.0,1.6712079301363776,2.061057875455453,0.9500000000000011,6.94526191877578,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,ARENA,2026-04-14,28.0,2026-05-07 09:00:00,34.84,24.428571428571445,5.900548082556001,18.528023346015445,True,,,,,,,2026-05-08 09:00:00,34.1,21.7857142857143,6.058269681402373,15.727444604311927,True,90.0,4.796403939655539,5.30902824382448,1.0,9.976433621366843,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,ASGYO,2026-04-14,10.91,2026-05-07 09:00:00,12.46,14.207149404216324,5.900548082556001,8.306601321660324,True,,,,,,,2026-05-08 09:00:00,12.45,14.115490375801997,6.058269681402373,8.057220694399625,True,50.0,1.8006224604623986,1.8305377922756598,0.8500000000000026,2.0579981290926197,,True,False
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,ATAKP,2026-04-14,55.2,2026-05-07 09:00:00,52.35,-5.163043478260876,5.900548082556001,-11.063591560816878,False,,,,,,,2026-05-08 09:00:00,53.3,-3.4420289855072617,6.058269681402373,-9.500298666909634,False,80.0,2.4203745473270226,2.572183366151089,1.0,5.142857142857138,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,BFREN,2026-04-14,151.2,2026-05-07 09:00:00,147.6,-2.3809523809523725,5.900548082556001,-8.281500463508372,False,,,,,,,2026-05-08 09:00:00,150.8,-0.2645502645502451,6.058269681402373,-6.322819945952618,False,100.0,7.140291553586182,7.777039788373396,1.0,9.963636363636352,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,BRSAN,2026-04-14,568.5,2026-05-07 09:00:00,620.5,9.146877748460858,5.900548082556001,3.246329665904857,True,,,,,,,2026-05-08 09:00:00,601.5,5.804749340369386,6.058269681402373,-0.2535203410329867,False,70.0,2.5683336969056554,2.8109455808328474,0.7525773195876289,7.670454545454541,,True,False
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,BURCE,2026-04-14,44.6,2026-05-07 09:00:00,55.3,23.99103139013452,5.900548082556001,18.09048330757852,True,,,,,,,2026-05-08 09:00:00,54.75,22.75784753363228,6.058269681402373,16.699577852229908,True,75.0,2.5134080492142687,2.643163090510635,1.0,9.960552268244571,,True,False
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,BURVA,2026-04-14,895.5,2026-05-07 09:00:00,1240.0,38.470128419877156,5.900548082556001,32.569580337321156,True,,,,,,,2026-05-08 09:00:00,1290.0,44.05360134003351,6.058269681402373,37.99533165863114,True,65.0,1.6764242174712043,1.8714927467809332,1.0,9.944751381215466,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,CGCAM,2026-04-14,40.12,2026-05-07 09:00:00,42.28,5.383848454636109,5.900548082556001,-0.5166996279198921,False,,,,,,,2026-05-08 09:00:00,44.8,11.665004985044858,6.058269681402373,5.606735303642485,True,75.0,1.5103282957439603,1.671119338527055,1.0,9.978070175438592,,True,True
2026-04-01,2026-05-01,2026-05-08,XUTUM,XU100,567,XU100,positive_interest,CLEBI,2026-04-14,1936.0,2026-05-07 09:00:00,1824.0,-5.785123966942152,5.900548082556001,-11.685672049498152,False,,,,,,,2026-05-08 09:00:00,1814.0,-6.301652892561982,6.058269681402373,-12.359922573964354,False,75.0,2.372796494025156,2.5518909282628104,0.8783783783783784,4.422869471413171,,True,True
