symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data,required_lookback_ready_for_2024_01_01,status,reason
ISATR,2021-01-25,2025-09-26,24,1,1,0,1,ok,
ISBTR,2021-01-06,2026-05-08,363,1,1,1,1,ok,
ISCTR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ISDMR,2021-01-06,2026-05-08,334,1,1,1,1,ok,
ISFIN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ISGSY,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ISGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ISKPL,2021-01-28,2026-05-08,353,1,1,1,1,ok,
ISMEN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
ISSEN,2021-11-18,2026-05-08,296,1,1,1,1,ok,
IZENR,2023-08-16,2026-05-08,181,1,1,1,1,ok,
IZFAS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
IZINV,2021-01-06,2026-05-08,344,1,1,1,1,ok,
IZMDC,2021-01-06,2026-05-08,344,1,1,1,1,ok,
JANTS,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KAPLM,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KAREL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KARSN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KARTN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KATMR,2021-01-06,2026-05-08,338,1,1,1,1,ok,
KAYSE,2023-05-18,2026-05-08,172,1,1,1,1,ok,
KBORU,2023-12-14,2026-05-08,146,1,1,1,1,ok,
KCAER,2022-06-30,2026-05-08,241,1,1,1,1,ok,
KCHOL,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KFEIN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KIMMR,2021-09-22,2026-05-08,271,1,1,1,1,ok,
KLGYO,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KLKIM,2021-05-18,2026-05-08,300,1,1,1,1,ok,
KLMSN,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KLRHO,2022-07-07,2026-05-08,251,1,1,1,1,ok,
KLSER,2023-07-27,2026-05-08,186,1,1,1,1,ok,
KLSYN,2022-03-04,2026-05-08,285,1,1,1,1,ok,
KLYPV,2025-02-13,2026-05-08,141,0,1,1,0,ok,
KMPUR,2022-04-28,2026-05-08,252,1,1,1,1,ok,
KNFRT,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KOCMT,2024-05-17,2026-05-08,119,1,1,1,0,ok,
KONKA,2021-11-26,2026-05-08,270,1,1,1,1,ok,
KONTR,2021-01-06,2026-05-08,344,1,1,1,1,ok,
KONYA,2021-01-06,2026-05-08,344,1,1,1,1,ok,
