symbol,first_date,last_date,row_count,has_2024_data,has_2025_data,has_2026_data
FONET,2021-01-06,2026-05-08,344,True,True,True
FORMT,2021-01-06,2026-05-08,344,True,True,True
FORTE,2023-06-14,2026-05-08,198,True,True,True
FRIGO,2021-01-06,2026-05-08,344,True,True,True
FROTO,2021-01-06,2026-05-08,344,True,True,True
FZLGY,2023-07-28,2026-05-08,168,True,True,True
GARAN,2021-01-06,2026-05-08,344,True,True,True
GARFA,2021-01-06,2026-05-08,344,True,True,True
GEDIK,2021-01-06,2026-05-08,344,True,True,True
GEDZA,2021-01-06,2026-05-08,344,True,True,True
GENIL,2021-08-05,2026-05-08,294,True,True,True
GENTS,2021-01-06,2026-05-08,344,True,True,True
GEREL,2021-01-06,2026-05-08,344,True,True,True
GESAN,2021-08-19,2026-05-08,318,True,True,True
GIPTA,2023-09-14,2026-05-08,161,True,True,True
GLBMD,2021-01-06,2026-05-08,344,True,True,True
GLCVY,2021-10-21,2026-05-08,269,True,True,True
GLRMK,2025-01-17,2026-05-08,86,False,True,True
GLRYH,2021-01-06,2026-05-08,344,True,True,True
GLYHO,2021-01-06,2026-05-08,344,True,True,True
GMTAS,2021-11-12,2026-05-08,288,True,True,True
GOKNR,2023-03-09,2026-05-08,201,True,True,True
GOLTS,2021-01-06,2026-05-08,344,True,True,True
GOODY,2021-01-06,2026-05-08,344,True,True,True
GOZDE,2021-01-06,2026-05-08,344,True,True,True
GRSEL,2022-03-09,2026-05-08,265,True,True,True
GRTHO,2023-04-26,2026-05-08,191,True,True,True
GSDDE,2021-01-06,2026-05-08,344,True,True,True
GSDHO,2021-01-06,2026-05-08,344,True,True,True
GSRAY,2021-01-06,2026-05-08,344,True,True,True
GUBRF,2021-01-06,2026-05-08,344,True,True,True
GUNDG,2024-08-22,2026-05-08,105,True,True,True
GWIND,2021-04-22,2026-05-08,324,True,True,True
GZNMI,2022-03-08,2026-05-08,271,True,True,True
HALKB,2021-01-06,2026-05-08,344,True,True,True
HATEK,2021-01-06,2026-05-08,325,True,True,True
HATSN,2023-09-22,2026-05-08,173,True,True,True
HDFGS,2021-01-06,2026-05-08,344,True,True,True
HEDEF,2021-10-22,2026-05-08,282,True,True,True
HEKTS,2021-01-06,2026-05-08,344,True,True,True
HKTM,2022-08-18,2026-05-08,258,True,True,True
HLGYO,2021-01-06,2026-05-08,344,True,True,True
HOROZ,2024-06-07,2026-05-08,121,True,True,True
HRKET,2024-05-23,2026-05-08,122,True,True,True
HTTBT,2022-03-03,2026-05-08,279,True,True,True
HUBVC,2021-01-06,2026-05-08,344,True,True,True
HUNER,2022-02-21,2026-05-08,273,True,True,True
HURGZ,2021-01-06,2026-05-08,344,True,True,True
